intervention_id,cycle_id,organization_id,indicator_id,plan_fiscal_year,change_idea_raw,change_idea_normalized,association_status,association_review,primary_category,secondary_tags,classification_method,classification_rule_used,classification_confidence,classification_reason,taxonomy_version,classification_evidence,override_reason,classification_review,workplan_source_ids,progress_source_ids,planned_methods_raw,process_measures_raw,process_targets_raw,workplan_comments_raw,implementation_status,implementation_flags_raw,implementation_notes_raw,progress_comments_raw,outcome_reference,analysis_eligible,analysis_exclusion_reason
intervention_65d7f2e039d97d01afe7,cycle_fdf29fa7958bf0485878,org_004976c32c109a2a,ind_06590f50f65eac7e,2024/25,Improve time to physician initial assessment (PIA).,Improve time to physician initial assessment (PIA).,workplan_only,source_exact_idea,Emergency Department Workflow,[],rule,"[""v1:Emergency Department Workflow:\\bphysician initial assessment\\b"",""v1:Emergency Department Workflow:\\bPIA\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Emergency Department Workflow"":[""\\bphysician initial assessment\\b"",""\\bPIA\\b""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_671""]",[],"[""1. Share individual physician data with physicians at monthly ED working group. 2. Lean out the workflow/documentation for first assessment""]","[""Percentage of patients meeting PIA 90th percentile times per standards""]","[""75% PIAs meeting standards by December 2024""]","[""CTAS 1 immediate CTAS 2 <15 mins CTAS 3 <30 mins CTAS 4 <60 mins CTAS 5 <120 mins If achieved, patient's will be able to agree with the statement: It took the time I had expected, or less, to see the doctor.""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,insufficient first-cycle ED longitudinal coverage
intervention_f7fe1bdd268121467b93,cycle_fdf29fa7958bf0485878,org_004976c32c109a2a,ind_06590f50f65eac7e,2024/25,Increase compliance with nursing standards regarding reassessment of patients.,Increase compliance with nursing standards regarding reassessment of patients.,workplan_only,source_exact_idea,Policy / Standardization,[],rule,"[""standard_work""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Policy / Standardization"":[""\\bstandard(?:s|ized|ised)? (?:work|orders?|order sets?|care|pathways?|operating)\\b|\\b(?:clinical|care) pathways?\\b|\\b(?:order sets?|care bundles?|bundle adherence)\\b|\\bnursing standards\\b""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_670""]",[],"[""1. Use of the reassessment room for patients waiting in the ED 2. Implementation of a reassessment nurse 3. Maximize use of Medical Directives 4. Increase accuracy of documentation of correct departure status""]","[""1. Percentage of staff provided education regarding standards and protocols for reassessment 2. Percentage of patients who are reassessed according to standards with documentation""]","[""1. 70% of staff provided education regarding standards and protocols for reassessment by July 2024 2. 80% of ED patients charted with correct disposition by October 2024""]","[""If achieved, patient's will be able to agree with the statement: While I was waiting to be seen by the doctor a nurse checked in on me.""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,insufficient first-cycle ED longitudinal coverage
intervention_1ec721dc9aadde362f16,cycle_19af076068d1a80951ee,org_004976c32c109a2a,ind_06590f50f65eac7e,2025/26,1. Focus on visibility of nursing staff and patient education 2. Implement a NP Diversion Clinic,1. Focus on visibility of nursing staff and patient education 2. Implement a NP Diversion Clinic,workplan_only,source_exact_idea,Training & Education,[],rule,"[""v1:Training & Education:\\beducat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Training & Education"":[""\\beducat\\w*""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_758""]",[],"[""- Clerk to instruct patients to follow up with triage nurse prior to leaving - Develop a ED patient handbook - Implement Nursing rounding in the waiting room (q 2-3 h) - Leverage Catalysis to improve with ED work flow - Implement a NP ED Diversion Clinic- 4 days / week""]","[""1. Count of patients that LWBS that did not report to triage 2. Count of times the waiting room has a nurse round through 3. Count of patients referred from the ED to the NP Clinic 4. Percentage of calendar days the department met the LWBS target of 8.33 5. Develop a ED patient handbook \""What to Expect While Waiting\""""]","[""1. Collecting baseline 2. Collecting baseline 3. Collecting baseline 4. Collecting baseline 5. By September 2025""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous
intervention_fbb0829b111b22246f58,cycle_114704e4c31725edbe44,org_004976c32c109a2a,ind_190f792c11f8550f,2025/26,Utilize Sepsis Indicator to drive improvement,Utilize Sepsis Indicator to drive improvement,workplan_and_progress,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_761""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_670""]","[""- Review quarterly revisits data for pediatric sepsis - Provide staff with education regarding sepsis Early Warning Signs - Educate staff on Goal Directed Treatment""]","[""1. Percentage of sepsis reviews completed quarterly 2. Percentage of staff completing education 3. Count of recommendations from reviews implemented""]","[""1. 100% 2. 100% by November 2025 3. Collecting Baseline""]","[""""]",Implemented,"[""Y""]","[""All return visits for Sepsis were reviewed as part of the EDRVQP. LACGH did not have any return visits for pediatric patients with sepsis.\nSepsis and Shock in-service training completed with staff in November 2025""]","[""""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_003dac73f6ac5a631756,cycle_ed481ca29cd2bba0b8bb,org_004976c32c109a2a,ind_2f90b8c20acfc56f,2024/25,"All staff will assess patient's skin for pressure areas daily, document any changes, and make appropriate referrals.","All staff will assess patient's skin for pressure areas daily, document any changes, and make appropriate referrals.",workplan_and_progress,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_673""]","[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_569""]","[""1. Monthly prevalence completed by WCT/ OT 2. Braden Score <12 will send automatic referral to Dietician and OT 3. Any patient that has a new or worsening pressure ulcer will consult the Wound Care Team 4. Staff education implemented regarding Pressure Injuries""]","[""1. Percentage of patients that have a skin assessment documented daily 2. # of consults seen by OT and Dietician 3. # of consults received by WCT for treatment of a wound""]","[""1. 100% of patients that have a skin assessment documented daily by June 2024 2. Collecting Baseline 3. 100% of patients who have a pressure injury will be consulted by the WCT by July 2024 4. Staff education implemented by June 2024""]","[""If achieved, patient's will be able to agree with the statement: Staff checked on my skin to make sure it was healthy, or make sure I had the right wound treatment, while I was in hospital.""]",Implemented,"[""Y""]","[""1. Wound care committee was reengaged with prevalence studies now being done routinely. 4 2. 46% of patients with pressure injuries were consulted by OT and a Dietician 3. 78% of Patients from June 2024-Feb 2025 had a consult to the wound care team if they had a PI. With 100% of patients consulted since December 2024 4. Staff education implemented in May 2024""]","[""""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_f7621baf3bc81f6a949d,cycle_8afea5997b4eb695b159,org_004976c32c109a2a,ind_3fdbfa1beb8cd349,2024/25,Improve accuracy of the documentation of departure status and patient disposition.,Improve accuracy of the documentation of departure status and patient disposition.,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_664""]",[],"[""1. Increase awareness of related data through monthly medical record chart audits and tracking of ED LOS monthly by complexity. 2. Staff education regarding LWBS definitions""]","[""1. Number of Chart Audits completed per month 2. Percentage of patients meeting LOS for complex (CTAS 1-2) and uncomplicated (CTAS 3-4-5) non-admits 3. Percentage of staff educated through huddles""]","[""1. 10 Chart Audits completed per month 2. 80% of patients meeting LOS for complex (CTAS 1-2) and uncomplicated (CTAS 3-4-5) non-admits 3. 100% Percentage of staff educated through huddles by June 2024""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_c2508d26349cb334f01a,cycle_8afea5997b4eb695b159,org_004976c32c109a2a,ind_3fdbfa1beb8cd349,2024/25,Maximize stretcher utilization,Maximize stretcher utilization,workplan_only,source_exact_idea,Bed & Capacity Management,[],rule,"[""bed_turnover""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Bed & Capacity Management"":[""\\bbed (?:assignment|turnover|turnaround|utilization|utilisation|ahead)\\b|\\bstretcher utilization\\b|\\bbeds? to be cleaned\\b""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_665""]",[],"[""1. Flow stretchers to match patient demand in the ED department and waiting room 2. Physicians to document discharge times 3. Weekly posting of ED activity for huddle discussions""]","[""Occupancy in the ED versus patients waiting in the waiting room""]","[""100% occupancy in the ED when ED waiting area has patients 80% of the time by July 2024""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_5a57d878a43500a0da19,cycle_8afea5997b4eb695b159,org_004976c32c109a2a,ind_3fdbfa1beb8cd349,2024/25,Maximize use of medical directives for triage and in the ED where indicated.,Maximize use of medical directives for triage and in the ED where indicated.,workplan_only,source_exact_idea,Patient Streaming / Triage,[],rule,"[""v1:Patient Streaming / Triage:\\btriage\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Patient Streaming / Triage"":[""\\btriage\\b""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_663""]",[],"[""Provide Education available to staff.""]","[""1. Upload Medical Directives to Moodle 2. Current staff to complete Medical Directive education 3. New ED staff complete Medical Directive education at time of hire. 4. Track the percentage of ED patients who have a Medical directive applied.""]","[""1. Medical Directives uploaded to Moodle by February 2024 2. 100% of current staff complete education by July 2024 3. 100% of new ED staff complete Medical Directive education during onboarding orientation. 4. 75% of appropriate patients will have an applied Medical Directive by October 2024""]","[""If achieved, patient's will be able to agree with the statement: It took as long as I expected, or less than expected, it to in the emergency department between the time I arrived and the time I went home.""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_ca004e722a13202ce86f,cycle_cf8f0b647c6b9cdc0f30,org_004976c32c109a2a,ind_5314e24f5f6e6912,2024/25,"Facilitate a corporate equity, inclusion and diversity training program.","Facilitate a corporate equity, inclusion and diversity training program.",workplan_only,source_exact_idea,Training & Education,[],rule,"[""v1:Training & Education:\\btrain(?:ing|ed)\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Training & Education"":[""\\btrain(?:ing|ed)\\b""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_672""]",[],"[""Leverage the Moodle training platform and external resources to implement a corporate annual equity, inclusion and diversity training program.""]","[""1. DEI Education availability on Moodle 2. Management Training through External Resource 3. DEI Staff Survey Released.""]","[""1. DEI Education on Moodle by end of April 2024 2. Management Training completed by August 2024 3. DEI Survey released by January 2025 4. 50% Staff & 100% executive completion of education by March 31, 2025""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_17206760a8b6b7083023,cycle_555b9691c2a114c07e0d,org_004976c32c109a2a,ind_5314e24f5f6e6912,2025/26,"Facilitate a leader education event focused on equity, diversity and inclusion.","Facilitate a leader education event focused on equity, diversity and inclusion.",workplan_only,source_exact_idea,Training & Education,[],rule,"[""v1:Training & Education:\\beducat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Training & Education"":[""\\beducat\\w*""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_760""]",[],"[""Facilitate blended learning of an in-person event, supplemented with on-line resources and education, to facilitate new equity, inclusion and diversity knowledge or skills for our leaders.""]","[""Percentage of leaders who have completed the required equity, diversity and inclusion education.""]","[""80% to be completed by end of Q4.""]","[""This indicator is focused on the leadership cohort of staff. We rely on and expect our leaders to play a pivotal role in creating a diverse, inclusive and welcoming environment.""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
