intervention_id,current_plan_group_id,organization_id,indicator_id,plan_fiscal_year,change_idea_raw,change_idea_normalized,association_status,association_review,primary_category,secondary_tags,classification_method,classification_rule_used,classification_confidence,classification_reason,taxonomy_version,classification_evidence,override_reason,classification_review,workplan_source_ids,progress_source_ids,planned_methods_raw,process_measures_raw,process_targets_raw,workplan_comments_raw
current_23034e417638d72de6eb,current_group_e67dc91bf84cd9954e13,org_004976c32c109a2a,ind_0646035afd9bba7c,2026/27,Review current Medication Reconciliation practices to compare changes pre and post Cerner go- live. Make adjustments to processes and data collection as necessary.,Review current Medication Reconciliation practices to compare changes pre and post Cerner go- live. Make adjustments to processes and data collection as necessary.,workplan_only,source_exact_idea,"Data, Measurement & Dashboards",[],rule,"[""v1:Data, Measurement & Dashboards:\\bdata collection\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Data, Measurement & Dashboards"":[""\\bdata collection\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_787""]",[],"[""We will perform quarterly audits of Medication Reconciliation on Discharge to determine the number of patients who did not receive a medication reconciliation and why.""]","[""Percentage of patient of who did not receive a Discharge Med Rec and met the criteria for Med Rec""]","[""<5% of patients who meet the criteria for a Discharge Medication Reconciliation will not receive a Discharge Medication Reconciliation by March 2027""]","[""""]"
current_7d53c9e22143db0305ec,current_group_37bad8db5d3ab7fe5e8a,org_004976c32c109a2a,ind_06590f50f65eac7e,2026/27,We will improve patient safety and communication in the Emergency Department wait room by re-checking wait room patients at regular intervals and have dedicated staff to wait room care.,We will improve patient safety and communication in the Emergency Department wait room by re-checking wait room patients at regular intervals and have dedicated staff to wait room care.,workplan_only,source_exact_idea,Care Coordination & Communication,[],rule,"[""v1:Care Coordination & Communication:\\bcommunicat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Care Coordination & Communication"":[""\\bcommunicat\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_793""]",[],"[""Implementation of a wait room PSW role from 1100-1900 daily, responsible for rechecking wait room patients vital signs, portering patients to diagnostic imaging and portering samples to lab.""]","[""percentage of patients waiting >1 hour between the hours of 1100-1900 that received a reassessment in the waiting room.""]","[""collecting baseline""]","[""This role is being developed to improve patient safety and satisfaction while also improving departmental flow""]"
current_eb7b59f8247bd81d1a0b,current_group_091bc23657c66ee2c722,org_004976c32c109a2a,ind_37478f8fb5db2bb6,2026/27,Improve identification of patients at risk for violence,Improve identification of patients at risk for violence,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_795""]",[],"[""Educate and monitor usage of the Violence Assessment Tool (VAT) and implementation of Acting Out Behaviours (AOB) flag when a VAT screens positive""]","[""1. Percentage of admitted patients who have had a VAT completed 2. Number of patients per month who required an AOB flag based on VAT results, but did not receive one""]","[""1. 95% of patients admitted to LACGH will have a VAT completed upon admission my March 2027 2. Less than 2 patients per month will not receive a AOB flag when required""]","[""""]"
current_dbca986a9f457a7a4dc8,current_group_091bc23657c66ee2c722,org_004976c32c109a2a,ind_37478f8fb5db2bb6,2026/27,Improve staff education on managing aggressive behaviours and de-escalation techniques,Improve staff education on managing aggressive behaviours and de-escalation techniques,workplan_only,source_exact_idea,Training & Education,[],rule,"[""v1:Training & Education:\\beducat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Training & Education"":[""\\beducat\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_796""]",[],"[""Provide ACU, ICU and ED nursing staff with Management of Aggressive Behaviours (MOAB) training. This will be a 4 hour in person course focused on recognition and de-escalation of aggressive behaviours and techniques for maintaining safety.""]","[""Percentage of permanent ACU,ICU and ED staff that have completed MOAB training in the last 3 years.""]","[""75% of permanent ACU, ICU and ED staff will have completed MOAB training by March 2027""]","[""""]"
current_359d043495dac1a71e95,current_group_091bc23657c66ee2c722,org_004976c32c109a2a,ind_37478f8fb5db2bb6,2026/27,We will improve staff safety by ensuring hospital security staff are available 24/7,We will improve staff safety by ensuring hospital security staff are available 24/7,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_794""]",[],"[""We will review hospital security contracts to ensure reliable coverage is available""]","[""Average number of vacant security shifts per month""]","[""We will have 1 or less vacant security shifts per month by March 2027""]","[""""]"
current_d76302466b3eacae8b16,current_group_ba68d1a4bff193f73f6f,org_004976c32c109a2a,ind_5314e24f5f6e6912,2026/27,In 25-26 LACGH focused on executive level and management DEI-IR training completion. In 26-27 we will expand DEI-IR training to all staff.,In 25-26 LACGH focused on executive level and management DEI-IR training completion. In 26-27 we will expand DEI-IR training to all staff.,workplan_only,source_exact_idea,Training & Education,[],rule,"[""v1:Training & Education:\\btrain(?:ing|ed)\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Training & Education"":[""\\btrain(?:ing|ed)\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_797""]",[],"[""We will offer an online Moodle training module for all staff annual education that provides EDI-IR training""]","[""Percentage of permanent hospital staff that have completed the EDI-IR training module""]","[""75% of LACGH's permanent hospital staff will complete EDI-IR training by March 2027""]","[""""]"
current_6b352b60a3079e3f47d7,current_group_c629a8accec512531b6e,org_004976c32c109a2a,ind_5b2e1352e31909e8,2026/27,LACGH often has post-operative patients admitted for <24 hours awaiting appropriate aldrete score for discharge. These patients must wait for surgeon availability for discharge resulting in discharge later in the day. We will aim to make improvements to post-operative discharge to improve bed census and number of patients waiting in the ED for an inpatient bed.,LACGH often has post-operative patients admitted for <24 hours awaiting appropriate aldrete score for discharge. These patients must wait for surgeon availability for discharge resulting in discharge later in the day. We will aim to make improvements to post-operative discharge to improve bed census and number of patients waiting in the ED for an inpatient bed.,workplan_only,source_exact_idea,Discharge & Transition Planning,[],rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Discharge & Transition Planning"":[""\\bdischarg\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_803""]",[],"[""We will create a discharge order for stable, postoperative patients that allows nursing staff to discharge the patient home once listed criteria are met.""]","[""1.Average number of <24 hour admissions per month 2. Average number of patients discharged using new postoperative discharge orders""]","[""1.Collecting baseline 2.Collecting baseline""]","[""""]"
current_f515596cd6f1dd34bf51,current_group_e93992478c7c69ceb984,org_004976c32c109a2a,ind_67ee717abbe20a1b,2026/27,"Increase the volume of responses to patient surveys . Response rates were very low in 25-26, with an average of 2-3 response per month. This did not provide a accurate view of the patient population experience","Increase the volume of responses to patient surveys . Response rates were very low in 25-26, with an average of 2-3 response per month. This did not provide a accurate view of the patient population experience",workplan_only,source_exact_idea,"Data, Measurement & Dashboards",[],rule,"[""survey""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Data, Measurement & Dashboards"":[""\\bsurveys?\\b|\\bquestionnaires?\\b|\\bfocus groups?\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_788""]",[],"[""Improve patient awareness of post discharge surveys through handouts at discharge, signage throughout the inpatient units, and partnership with volunteers to assist with survey completion on discharge.""]","[""Volume of patient discharge surveys/ month""]","[""1. Increase patient response volume to > 10 responses per month by March 2027""]","[""""]"
current_d793fec7ed763d272697,current_group_e93992478c7c69ceb984,org_004976c32c109a2a,ind_67ee717abbe20a1b,2026/27,Standardize discharge processes for nurses to ensure all patient receive education and discharge paperwork,Standardize discharge processes for nurses to ensure all patient receive education and discharge paperwork,workplan_only,source_exact_idea,Discharge & Transition Planning,"[""Training & Education"",""Policy / Standardization""]",rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*"",""v1:Training & Education:\\beducat\\w*"",""v1:Policy / Standardization:\\bstandardiz\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Discharge & Transition Planning"":[""\\bdischarg\\w*""],""Policy / Standardization"":[""\\bstandardiz\\w*""],""Training & Education"":[""\\beducat\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_789""]",[],"[""Complete patient discharge education with nursing staff upon hire and annually. Education for nurses will include guidance on what to include upon discharge and patient teaching skills.""]","[""1. % of Acute Care and Intensive Care staff that have received education on patient discharge 2. % of patients who state that they received their discharge paperwork in post discharge phone surveys""]","[""1. 95% of inpatient staff will have received patient discharge education by March 2027 2. 100% of patient will receive discharge paperwork when leaving the hospital by March 2027""]","[""""]"
current_39929d66f620e90d8e72,current_group_f705f899a390d647674c,org_004976c32c109a2a,ind_7ebd4762b8a6c688,2026/27,Improve length of stay for non-admitted patients with high acuity by decreasing time spent waiting for diagnostic test results.,Improve length of stay for non-admitted patients with high acuity by decreasing time spent waiting for diagnostic test results.,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_800""]",[],"[""We will target a reduction in time spent waiting for diagnostic test results by focusing on lab and DI turn around times (TATs). In current state, TATs are increased due to Medical Lab Technologists and Medical Radiation Technologists portering their own patients/samples to and from the Emergency Department. During the time they spend portering, they cannot result tests or scan more patients. We will be introducing a PSW role to the ED, and a part of this role will involve portering, removing these tasks from the MLT and MRT duties.""]","[""1. Average time from blood drawn to received in lab and average time from Lab ordered to Lab resulted 2. Average time from image ordered to image resulted""]","[""Collecting baseline data""]","[""""]"
